PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PCN_CODE,PCN_NAME,ONS_SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ONS_ICB_CODE,ICB_CODE,ICB_NAME,ONS_COMM_REGION_CODE,COMM_REGION_CODE,COMM_REGION_NAME,SUPPLIER_NAME
GP_PRAC_PAT_LIST,01Mar2026,G84041,GILLMANS ROAD SURGERY,BR5 4LA,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84604,HIGHLAND ROAD SURGERY,BR1 4AD,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84607,WICKHAM PARK SURGERY,BR4 9PS,U98580,HAYES WICK PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84609,BANK HOUSE SURGERY,BR6 7BA,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84621,WHITEHOUSE SURGERY,BR5 1EL,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84624,ANERLEY SURGERY,SE20 8TJ,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84625,OAKFIELD SURGERY,SE20 8QA,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84627,GREEN STREET GREEN MED CT,BR6 6BG,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84629,SUNDRIDGE MEDICAL CENTRE,BR1 4HE,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84630,CRESCENT SURGERY,BR5 2DD,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
