MSOA21CD,practice_count,DEMENTIA_REGISTER_65_PLUS,DEMENTIA_REGISTER_0_64,total_dementia,total_registered,area_km2,density_65plus,density_0_64,density_total
E02000949,1,48.0,0.0,48.0,10091.0,1.2844267229416273,37.37075781954237,0.0,37.37075781954237
E02000950,1,31.0,0.0,31.0,7598.0,0.820816645900793,37.767265265410785,0.0,37.767265265410785
E02000951,2,93.0,5.0,98.0,21668.0,0.39903930643370117,233.0597474999661,12.530093951611082,245.5898414515772
E02000952,2,63.0,2.0,65.0,15356.0,0.6416508521472761,98.18423803096549,3.1169599374909676,101.30119796845645
E02000953,1,45.0,3.0,48.0,15173.0,0.7410410097675134,60.725384164795194,4.04835894431968,64.77374310911487
E02000956,1,168.0,7.0,175.0,45052.0,0.795362438826787,211.2244579311682,8.801019080465341,220.0254770116335
E02000957,1,32.0,0.0,32.0,10172.0,0.7187370490754124,44.5225413677575,0.0,44.5225413677575
E02000959,2,102.0,5.0,107.0,14798.0,0.5895772585114925,173.0053161438413,8.480652752149084,181.4859688959904
E02006782,1,51.0,7.0,58.0,11895.0,2.444520997883569,20.862982991005218,2.863546685039932,23.72652967604515
E02006783,3,106.0,2.0,108.0,29189.0,1.0248785851717523,103.42688542198019,1.951450668339249,105.37833609031945
E02006785,1,67.0,0.0,67.0,11390.0,1.5406162615451084,43.48909048435244,0.0,43.48909048435244
E02006787,3,322.0,15.0,337.0,48418.0,1.4077238920353758,228.7380372115672,10.655498627868036,239.39353583943523
E02006798,3,80.0,5.0,85.0,29796.0,0.7648002845013077,104.6024715487187,6.5376544717949185,111.14012602051362
E02006801,1,31.0,1.0,32.0,15368.0,1.0358238869973708,29.92786745810843,0.9654150792938204,30.893282537402253
E02006802,1,230.0,12.0,242.0,75339.0,0.7414359646477843,310.20885277565463,16.184809710034155,326.3936624856888
E02006930,2,52.0,1.0,53.0,24280.0,0.7543922190661652,68.92966110436414,1.3255704058531566,70.2552315102173
E02006931,3,64.0,2.0,66.0,30732.0,2.0270058525043657,31.573663154908015,0.9866769735908755,32.560340128498886
E02006987,1,46.0,0.0,46.0,7543.0,0.7316597768103236,62.870751485803076,0.0,62.870751485803076
E02006988,1,141.0,8.0,149.0,8011.0,0.7586567064582078,185.85481259140136,10.544953905895111,196.39976649729647
E02006991,1,35.0,3.0,38.0,11627.0,0.4083783263538571,85.7048421557826,7.346129327638509,93.05097148342111
E02006993,1,347.0,16.0,363.0,13990.0,0.9187923701704976,377.66965776566934,17.41416289409426,395.0838206597636
E02006994,2,77.0,8.0,85.0,39931.0,1.4753001829467756,52.192767878737484,5.422625234154544,57.61539311289203
E02007009,1,28.0,3.0,31.0,6518.0,1.0675444954826732,26.22841494521523,2.810187315558775,29.038602260774006
