practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G85051,G85051,ELM LODGE SURGERY,SE24 9HJ,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4517313,-0.0957848
G85052,G85052,OLD KENT ROAD SURGERY,SE1 5TY,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4904071,-0.0810628
G85053,G85053,HURLEY AND RIVERSIDE PRACTICES,SE11 4HJ,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49067,-0.10674
G85054,G85054,LAMBETH WALK GROUP PRACTICE,SW9 6AF,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.475724,-0.1051357
G85057,G85057,ASHDOWN MEDICAL GROUP,BR1 5EP,U58020,SEVENFIELDS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4271705,0.0094637
G85061,G85061,WOOLSTONE MEDICAL CENTRE,SE23 2SG,U23546,APLOS HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4389336,-0.0347302
G85073,G85073,VASSALL MEDICAL CENTRE,SW9 6NA,U41041,FIVEWAYS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4775975,-0.1084331
G85076,G85076,NEW CROSS CENTRE (HURLEY GROUP),SE14 6LD,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4767181,-0.0317383
G85083,G85083,SANDMERE PRACTICE,SW4 7QJ,U45098,CLAPHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4625704,-0.1268055
G85084,G85084,PENROSE SURGERY,SE17 3DW,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4871058,-0.0978824
G85085,G85085,GROVE MEDICAL CENTRE,SE8 3QH,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4902419,-0.0352882
G85086,G85086,THE SOUTH LAMBETH RD PRACTICE,SW8 1UL,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47657,-0.12367
G85087,G85087,SILVERLOCK MEDICAL CENTRE,SE16 3HA,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4859578,-0.063336
G85091,G85091,THE THREE ZERO SIX MEDICAL CENTRE,SE22 8LY,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.45074,-0.0764
